sight_range,seed_index,run_id,run_name,group,state,final_return,final_update_step,url
-1.0,0,0zgobwj5,0_0_2026-06-10_14-05-43,2026-06-10_14-05-43,finished,-26.59111595153809,1219,https://wandb.ai/aryaman-reddi/talk/runs/0zgobwj5
-1.0,1,ju1qiguk,0_1_2026-06-10_14-05-43,2026-06-10_14-05-43,finished,-26.057231903076172,1219,https://wandb.ai/aryaman-reddi/talk/runs/ju1qiguk
-1.0,2,l8w3wv3u,0_2_2026-06-10_14-05-43,2026-06-10_14-05-43,finished,-26.1229248046875,1219,https://wandb.ai/aryaman-reddi/talk/runs/l8w3wv3u
0.0,0,5tt0k9g1,0_0_2026-06-10_13-48-49,2026-06-10_13-48-49,finished,-78.36510467529297,1219,https://wandb.ai/aryaman-reddi/talk/runs/5tt0k9g1
0.0,1,2apchbi3,0_1_2026-06-10_13-48-49,2026-06-10_13-48-49,finished,-77.3485107421875,1219,https://wandb.ai/aryaman-reddi/talk/runs/2apchbi3
0.0,2,wy1psalq,0_2_2026-06-10_13-48-49,2026-06-10_13-48-49,finished,-75.95954895019531,1219,https://wandb.ai/aryaman-reddi/talk/runs/wy1psalq
0.1,0,5oqvbgrw,0_0_2026-06-10_13-50-30,2026-06-10_13-50-30,finished,-78.78527069091797,1219,https://wandb.ai/aryaman-reddi/talk/runs/5oqvbgrw
0.1,1,l0ini2tg,0_1_2026-06-10_13-50-30,2026-06-10_13-50-30,finished,-76.95654296875,1219,https://wandb.ai/aryaman-reddi/talk/runs/l0ini2tg
0.1,2,y3p6k219,0_2_2026-06-10_13-50-30,2026-06-10_13-50-30,finished,-77.78437805175781,1219,https://wandb.ai/aryaman-reddi/talk/runs/y3p6k219
0.25,0,0vyb4vcq,0_0_2026-06-10_13-52-11,2026-06-10_13-52-11,finished,-75.80799102783203,1219,https://wandb.ai/aryaman-reddi/talk/runs/0vyb4vcq
0.25,1,91vyxt4x,0_1_2026-06-10_13-52-11,2026-06-10_13-52-11,finished,-72.1116943359375,1219,https://wandb.ai/aryaman-reddi/talk/runs/91vyxt4x
0.25,2,a2ozflxp,0_2_2026-06-10_13-52-11,2026-06-10_13-52-11,finished,-75.169189453125,1219,https://wandb.ai/aryaman-reddi/talk/runs/a2ozflxp
0.5,0,cid7c34a,0_0_2026-06-10_13-53-52,2026-06-10_13-53-52,finished,-54.7264404296875,1219,https://wandb.ai/aryaman-reddi/talk/runs/cid7c34a
0.5,1,irzs9j7t,0_1_2026-06-10_13-53-52,2026-06-10_13-53-52,finished,-53.267208099365234,1219,https://wandb.ai/aryaman-reddi/talk/runs/irzs9j7t
0.5,2,csfmg3xm,0_2_2026-06-10_13-53-52,2026-06-10_13-53-52,finished,-52.69515228271485,1219,https://wandb.ai/aryaman-reddi/talk/runs/csfmg3xm
0.75,0,xjm06ya1,0_0_2026-06-10_13-55-33,2026-06-10_13-55-33,finished,-44.095184326171875,1219,https://wandb.ai/aryaman-reddi/talk/runs/xjm06ya1
0.75,1,8pa24c7z,0_1_2026-06-10_13-55-33,2026-06-10_13-55-33,finished,-43.416316986083984,1219,https://wandb.ai/aryaman-reddi/talk/runs/8pa24c7z
0.75,2,wm1ccfc8,0_2_2026-06-10_13-55-33,2026-06-10_13-55-33,finished,-43.47984313964844,1219,https://wandb.ai/aryaman-reddi/talk/runs/wm1ccfc8
