sight_range,mean_final_return,std_final_return,min_final_return,max_final_return,num_seeds
0.0,-77.2243881225586,1.2075716977327617,-78.36510467529297,-75.95954895019531,3
0.1,-77.8420639038086,0.9157275870047437,-78.78527069091797,-76.95654296875,3
0.25,-74.36295827229817,1.975641375941159,-75.80799102783203,-72.1116943359375,3
0.5,-53.562933603922524,1.0474364250598438,-54.7264404296875,-52.69515228271485,3
0.75,-43.6637814839681,0.37495360011979617,-44.095184326171875,-43.416316986083984,3
1.0,-40.17739613850912,0.3501685709748407,-40.513038635253906,-39.81431579589844,3
1.5,-35.78155390421549,0.4143541620199383,-36.205928802490234,-35.37800598144531,3
2.0,-28.633458455403645,0.6175850760789349,-29.2222900390625,-27.99066162109375,3
3.0,-26.206281661987305,0.5454278514353819,-26.818191528320312,-25.771228790283203,3
4.0,-26.26519521077474,0.7503303134611007,-27.10939598083496,-25.674306869506836,3
-1.0,-26.257090886433918,0.2911330407544141,-26.59111595153809,-26.057231903076172,3
