algo,sight_range,codebook_size,aux_coef,comm_range,talk_config,vocab_dim,sig_dim,gumbel_tau,run_id,run_name,group,state,final_return,max_return,final_test_return,n_points,url
mappo_talk_v2,-1.0,1,0.0,-1.0,_1_code_no_h_aux,32,16,1.0,f12lhp6m,0_1_2026-06-17_01-50-56,2026-06-17_01-50-56,finished,-24.778976893815837,-23.608129501342773,-40.694820091372634,1220,https://wandb.ai/aryaman-reddi/talk/runs/f12lhp6m
mappo_talk_v2,-1.0,1,0.0,-1.0,_1_code_no_h_aux,32,16,1.0,rvnw35gj,0_2_2026-06-17_01-50-56,2026-06-17_01-50-56,finished,-25.31024348149534,-24.017303466796875,-44.73423617003394,1220,https://wandb.ai/aryaman-reddi/talk/runs/rvnw35gj
mappo_talk_v2,-1.0,1,0.0,-1.0,_1_code_no_h_aux,32,16,1.0,yt5fu2wz,0_0_2026-06-17_01-50-56,2026-06-17_01-50-56,finished,-25.26238055307357,-23.772830963134766,-45.6780966774362,1220,https://wandb.ai/aryaman-reddi/talk/runs/yt5fu2wz
mappo_talk_v2,-1.0,1,0.001,-1.0,_1_code_0.001_h_aux,32,16,1.0,0adzz9a6,0_1_2026-06-17_06-00-41,2026-06-17_06-00-41,finished,-24.942383609834266,-23.491966247558594,-44.224474172123145,1220,https://wandb.ai/aryaman-reddi/talk/runs/0adzz9a6
mappo_talk_v2,-1.0,1,0.001,-1.0,_1_code_0.001_h_aux,32,16,1.0,1yzwqrcw,0_0_2026-06-17_06-00-41,2026-06-17_06-00-41,finished,-25.368966180770123,-23.788511276245117,-50.34694724786477,1220,https://wandb.ai/aryaman-reddi/talk/runs/1yzwqrcw
mappo_talk_v2,-1.0,1,0.001,-1.0,_1_code_0.001_h_aux,32,16,1.0,roniet6h,0_2_2026-06-17_06-00-41,2026-06-17_06-00-41,finished,-25.550569800079845,-24.27597427368164,-51.61492710426206,1220,https://wandb.ai/aryaman-reddi/talk/runs/roniet6h
mappo_talk_v2,-1.0,1,0.01,-1.0,_1_code_0.01_h_aux,32,16,1.0,4fl84k49,0_1_2026-06-17_06-07-53,2026-06-17_06-07-53,finished,-30.514556603353533,-29.105270385742188,-36.75635775581735,1220,https://wandb.ai/aryaman-reddi/talk/runs/4fl84k49
mappo_talk_v2,-1.0,1,0.01,-1.0,_1_code_0.01_h_aux,32,16,1.0,8yx6yd25,0_2_2026-06-17_06-07-53,2026-06-17_06-07-53,finished,-33.503461243676355,-32.04704284667969,-37.62325158666392,1220,https://wandb.ai/aryaman-reddi/talk/runs/8yx6yd25
mappo_talk_v2,-1.0,1,0.01,-1.0,_1_code_0.01_h_aux,32,16,1.0,9zlw5nf3,0_0_2026-06-17_06-07-53,2026-06-17_06-07-53,finished,-26.905920700948748,-25.48518943786621,-41.40058739458928,1220,https://wandb.ai/aryaman-reddi/talk/runs/9zlw5nf3
mappo_talk_v2,-1.0,1,0.1,-1.0,_1_code_0.1_h_aux,32,16,1.0,2qfg76yj,0_1_2026-06-17_06-15-06,2026-06-17_06-15-06,finished,-40.359457422475344,-38.45318603515625,-40.6934546173596,1220,https://wandb.ai/aryaman-reddi/talk/runs/2qfg76yj
mappo_talk_v2,-1.0,1,0.1,-1.0,_1_code_0.1_h_aux,32,16,1.0,6jwclvkc,0_2_2026-06-17_06-15-06,2026-06-17_06-15-06,finished,-39.8660792366403,-37.73674011230469,-39.981092077786805,1220,https://wandb.ai/aryaman-reddi/talk/runs/6jwclvkc
mappo_talk_v2,-1.0,1,0.1,-1.0,_1_code_0.1_h_aux,32,16,1.0,t5gp7drg,0_0_2026-06-17_06-15-06,2026-06-17_06-15-06,finished,-38.66970953394155,-36.940887451171875,-38.634857365342434,1220,https://wandb.ai/aryaman-reddi/talk/runs/t5gp7drg
mappo_talk_v2,-1.0,1,0.2,-1.0,_1_code_0.2_h_aux,32,16,1.0,ebrcv3ig,0_2_2026-06-17_06-22-18,2026-06-17_06-22-18,finished,-35.94746536505027,-33.723365783691406,-36.042232200747634,1220,https://wandb.ai/aryaman-reddi/talk/runs/ebrcv3ig
mappo_talk_v2,-1.0,1,0.2,-1.0,_1_code_0.2_h_aux,32,16,1.0,eqodcs37,0_0_2026-06-17_06-22-18,2026-06-17_06-22-18,finished,-39.67140663647261,-37.53480529785156,-39.7059422477347,1220,https://wandb.ai/aryaman-reddi/talk/runs/eqodcs37
mappo_talk_v2,-1.0,1,0.2,-1.0,_1_code_0.2_h_aux,32,16,1.0,s3fdg2r9,0_1_2026-06-17_06-22-18,2026-06-17_06-22-18,finished,-39.498100624709835,-37.421043395996094,-39.606229000404234,1220,https://wandb.ai/aryaman-reddi/talk/runs/s3fdg2r9
mappo_talk_v2,-1.0,1,0.5,-1.0,_1_code_0.5_h_aux,32,16,1.0,aer592u1,0_1_2026-06-17_06-29-33,2026-06-17_06-29-33,finished,-49.327281514152155,-46.59722900390625,-49.38360808325596,1220,https://wandb.ai/aryaman-reddi/talk/runs/aer592u1
mappo_talk_v2,-1.0,1,0.5,-1.0,_1_code_0.5_h_aux,32,16,1.0,exm8jowr,0_0_2026-06-17_06-29-33,2026-06-17_06-29-33,finished,-48.809105638597835,-46.79131317138672,-48.71382879038326,1220,https://wandb.ai/aryaman-reddi/talk/runs/exm8jowr
mappo_talk_v2,-1.0,1,0.5,-1.0,_1_code_0.5_h_aux,32,16,1.0,m3vy9w6z,0_2_2026-06-17_06-29-33,2026-06-17_06-29-33,finished,-40.90269326381996,-38.8723030090332,-41.070997738447346,1220,https://wandb.ai/aryaman-reddi/talk/runs/m3vy9w6z
mappo_talk_v2,-1.0,1,0.8,-1.0,_1_code_0.8_h_aux,32,16,1.0,3fwuduo2,0_2_2026-06-17_06-36-45,2026-06-17_06-36-45,finished,-39.46058929943648,-37.87519836425781,-39.553420363879596,1220,https://wandb.ai/aryaman-reddi/talk/runs/3fwuduo2
mappo_talk_v2,-1.0,1,0.8,-1.0,_1_code_0.8_h_aux,32,16,1.0,l0at70uf,0_0_2026-06-17_06-36-45,2026-06-17_06-36-45,finished,-44.189936684780434,-42.28636932373047,-44.09282356012063,1220,https://wandb.ai/aryaman-reddi/talk/runs/l0at70uf
mappo_talk_v2,-1.0,1,0.8,-1.0,_1_code_0.8_h_aux,32,16,1.0,loejw1ge,0_1_2026-06-17_06-36-45,2026-06-17_06-36-45,finished,-44.04035834015393,-42.3499641418457,-44.148824472896386,1220,https://wandb.ai/aryaman-reddi/talk/runs/loejw1ge
mappo_talk_v2,-1.0,1,1.0,-1.0,_1_code_1.0_h_aux,32,16,1.0,m13ief7g,0_2_2026-06-17_06-43-57,2026-06-17_06-43-57,finished,-44.66185247702677,-42.50862121582031,-44.66653670639288,1220,https://wandb.ai/aryaman-reddi/talk/runs/m13ief7g
mappo_talk_v2,-1.0,1,1.0,-1.0,_1_code_1.0_h_aux,32,16,1.0,t02m38c1,0_1_2026-06-17_06-43-57,2026-06-17_06-43-57,finished,-46.7253363875092,-44.48106002807617,-46.78360426230509,1220,https://wandb.ai/aryaman-reddi/talk/runs/t02m38c1
mappo_talk_v2,-1.0,1,1.0,-1.0,_1_code_1.0_h_aux,32,16,1.0,xso7afpw,0_0_2026-06-17_06-43-57,2026-06-17_06-43-57,finished,-42.82413069928279,-40.77001953125,-42.70223783274166,1220,https://wandb.ai/aryaman-reddi/talk/runs/xso7afpw
mappo_talk_v2,-1.0,2,0.0,-1.0,_2_code_no_h_aux,32,16,1.0,9gumc56w,0_2_2026-06-17_02-57-40,2026-06-17_02-57-40,finished,-24.915351992747823,-23.618005752563477,-43.288672369034565,1220,https://wandb.ai/aryaman-reddi/talk/runs/9gumc56w
mappo_talk_v2,-1.0,2,0.0,-1.0,_2_code_no_h_aux,32,16,1.0,f8p4kzmm,0_1_2026-06-17_02-57-40,2026-06-17_02-57-40,finished,-24.592758616463083,-23.085350036621094,-44.00016631454718,1220,https://wandb.ai/aryaman-reddi/talk/runs/f8p4kzmm
mappo_talk_v2,-1.0,2,0.0,-1.0,_2_code_no_h_aux,32,16,1.0,nsjb2x9a,0_0_2026-06-17_02-57-40,2026-06-17_02-57-40,finished,-25.027743495878624,-23.49817657470703,-42.85010431633621,1220,https://wandb.ai/aryaman-reddi/talk/runs/nsjb2x9a
